,_id,lat,lon,screen_name,tweets,followers
0,606cb0a59d9b439a792262aa,41.449589700000004,27.384616499999996,ErturLevent,8031,304
1,606cb0a59d9b439a792262ab,50.938361,6.959974000000001,MiluElBarbaro,8622,236
2,606cb0a59d9b439a792262ac,51.9228696,4.487498568528366,drifteur,6458,6087
3,606cb0a69d9b439a792262ad,-33.8548157,151.2164539,yaelago1,263,84
4,606cb0a79d9b439a792262ae,-34.928180499999996,138.5999312,GAINBioblitz,1613,237
5,606cb0a79d9b439a792262af,52.562308900000005,-1.8239793999999998,pmandrews1973,26693,1918
6,606cb0a89d9b439a792262b0,29.424600199999997,-98.4951405,nan,75918,9020
7,606cb0a89d9b439a792262b1,-37.814217600000006,144.9631608,siandart,119491,1323
8,606cb0a99d9b439a792262b2,53.2744122,-9.049063199999999,OkeeffeLynn,103151,2351
9,606cb0a99d9b439a792262b3,51.5073219,-0.1276474,mhaklay,14124,5002
10,606cb0aa9d9b439a792262b4,-33.8548157,151.2164539,Vikkik88,132579,2210
11,606cb0aa9d9b439a792262b5,49.2395281,-123.13023600000001,GSBioblitz,2062,309
12,606cb0ab9d9b439a792262b6,45.5643442,17.0118954,RupicapraSymp,226,30
13,606cb0ab9d9b439a792262b7,-34.928180499999996,138.5999312,stephen_fricker,2055,319
14,606cb0ad9d9b439a792262b8,50.3712659,-4.1425658,OliTills,160,233
15,606cb0ad9d9b439a792262b9,-33.8548157,151.2164539,_breakinggood,152,351
16,606cb0ae9d9b439a792262ba,48.2083537,16.372504199999998,KSCH_ZSI,1561,305
17,606cb0af9d9b439a792262bb,48.264084499999996,-2.9202407999999997,biodiversiteBZH,1154,881
18,606cb0af9d9b439a792262bc,53.958430799999995,-2.0260314,Countrymaned,45481,4265
19,606cb0af9d9b439a792262bd,46.603353999999996,1.8883334999999999,FMatutini,74,55
20,606cb0b09d9b439a792262be,52.32130635,-1.5536905536661392,AprilWe76706483,430,221
21,606cb0b09d9b439a792262bf,48.6937223,6.1834097,ma_salmon,21607,10653
22,606cb0b19d9b439a792262c0,47.798134600000004,13.046480599999999,CitSciatPLUS,1223,237
