Texto;compound
RT @candemanetti: Necesito que entren a nuestro nuevo proyecto de ciencia ciudadana!! Hace ciencia desde tu casa!! Ayúdanos a encontrarlos!! Es un proyecto del centro de zoología aplicada en conjunto con el IDEA. Gracias!!! https://t.co/KYRqgzlsX9;97.12
RT @re9a7: #Earthquake recorded on the #RaspberryShake #CitizenScience seismic network. See what?s shaking near you with the @raspishake #ShakeNet mobile app https://t.co/1UMj7vVdOX;97.12
RT @ScotlandTBP: We believe that young people?s voices should be valued, influence our decision-making & help to drive change. \n This is why we are teaming up with some inspirational young conservationists to be our #SBPNextGen. Today Xander takes us through Volunteering & Citizen Science. 1/5 https://t.co/t9gOHxhtcB;97.12
RT @ScotlandTBP: We believe that young people?s voices should be valued, influence our decision-making & help to drive change. \n This is why we are teaming up with some inspirational young conservationists to be our #SBPNextGen. Today Xander takes us through Volunteering & Citizen Science. 1/5 https://t.co/t9gOHxhtcB;97.12
RT @ScotlandTBP: We believe that young people?s voices should be valued, influence our decision-making & help to drive change. \n This is why we are teaming up with some inspirational young conservationists to be our #SBPNextGen. Today Xander takes us through Volunteering & Citizen Science. 1/5 https://t.co/t9gOHxhtcB;97.12
RT @CorneliaVonhof: Webinar-Reihe des Studiengangs #Informationswissenschaften @hdm_stgt zu Openness wird fortgesetzt. Ab 27.10., 17:00 jeden Dienstag. Start mit @Guido_Scherp @ZBW_MediaTalk. Infos und Programm: https://t.co/451fVnD7ux \n #openness #OpenScience \n #CitizenScience #OpenEducation https://t.co/trWnZWTS6w;97.12
RT @PabloRLoz: Today at 17:55, we will have a great opportunity to talk about the role of social sciences in the study of freshwater ecosystems. @limnologia2020 \n #humanvalues \n #CitizenScience \n \n @paufortu @sdlanghans @Txell_Abril @AnnaLupon @batecrius @LivingRiver2 @pesca_plastic @FEHMlab https://t.co/iTKA2E8TZ5;97.12
RT @CorneliaVonhof: Webinar-Reihe des Studiengangs #Informationswissenschaften @hdm_stgt zu Openness wird fortgesetzt. Ab 27.10., 17:00 jeden Dienstag. Start mit @Guido_Scherp @ZBW_MediaTalk. Infos und Programm: https://t.co/451fVnD7ux \n #openness #OpenScience \n #CitizenScience #OpenEducation https://t.co/trWnZWTS6w;97.12
RT @Hanka_KL: Looking forward to discussing trees, science and the MK Tree Growth Project at @SoapboxSciMK on November 7th!???? \n \n Check out my video below introducing this new #CitizenScience project and/or the project webpage to find out more! \n \n Project page: https://t.co/vfRFZPkGRV https://t.co/FGAtTV5AKU https://t.co/KNPjUnKISh;97.12
RT @ReachBackGetIt: Our #October Harvest thru the years! \n \n 2013 Citizen Science \n 2014 Ed Reception \n 2015 Tinker Workshop Labs \n 2016 #SXSL at White House \n 2017 World Maker Faire \n 2018 I.A.F.A. \n 2019 Meeting @DOEChancellor \n \n 2020 Racial Equity & Justice Initiative \n Today: https://t.co/aORcGe9CUC https://t.co/tk6slo1AXD;97.12
