Unnamed: 0;Usuario;Texto;compound
31105;DalmarnockPS;@DalmarnockPTMsM This looks really exciting. We must get information out to children and families.;97.12
31104;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is S. Dust level #PM10 is: 6.50ugr/m3. Dust level #PM2.5 is: 4.40ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31041;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is S. Dust level #PM10 is: 7.07ugr/m3. Dust level #PM2.5 is: 5.75ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31754;Aalst_Waalre;That?s great, the level is below 5 ugr/m3. Wind direction is SSW. Dust level #PM10 is: 2.45ugr/m3. Dust level #PM2.5 is: 1.13ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31049;Aalst_Waalre;That?s not good, the level is below 20 ugr/m3 but above 10 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 11.63ugr/m3. Dust level #PM2.5 is: 5.72ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31101;Pussilicca;From Space Science Telescope Institute [STScI] : ?Community Science with the Nancy Grace Roman Space Telescope? https://t.co/Tfjl9gy735 via @sciencesprings;97.12
45953;;;97.12
31053;AroundBirds;Hola, \n Check out new results about ?Recoveries of Ringed #Redfootedfalcons in Germany? revealing also feedback rate of observations in #CitizenScience platform https://t.co/9IHGHpJg8i: \n https://t.co/pbFxkttbqn or https://t.co/bFG8gcCNvL \n \n ?4 RT \n \n @AnillamientoSEO @ArantzaLeal1 https://t.co/Fk4YxMwpTA;97.12
31052;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 7.40ugr/m3. Dust level #PM2.5 is: 6.18ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
45954;D_M_Ethier;Are you looking for virtual content for your ornithology course? Don?t hesitate to reach out! Together we can empower students to use existing data to answer real-world ecological questions. @BirdsCanada;97.12
31145;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 9.05ugr/m3. Dust level #PM2.5 is: 6.28ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31022;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 6.47ugr/m3. Dust level #PM2.5 is: 5.75ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31078;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is S. Dust level #PM10 is: 8.30ugr/m3. Dust level #PM2.5 is: 4.00ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31144;estacanicazul;Interesante proyecto de ciencia ciudadana en Aragón, pienso que se puede extrapolar a otros lugares. Es importante conocer la biodiversidad para evitar luego que algunos ecosistemas se deterioren sin saber porque. \n #biodiversidad \n #cienciaciudadana;97.12
31072;Aalst_Waalre;That?s great, the level is below 5 ugr/m3. Wind direction is S. Dust level #PM10 is: 4.97ugr/m3. Dust level #PM2.5 is: 4.00ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31034;Aalst_Waalre;That?s not so great, but the level is at least below 10 ugr/m3. Wind direction is S. Dust level #PM10 is: 7.57ugr/m3. Dust level #PM2.5 is: 5.03ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31096;Aalst_Waalre;That?s not good, the level is below 20 ugr/m3 but above 10 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 13.05ugr/m3. Dust level #PM2.5 is: 6.07ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
31132;mungoPEHE;Team PE saw the word bounce and got excited! One for science @StMungoScience ?@StMungosAcademy;97.12
31726;Aalst_Waalre;That?s great, the level is below 5 ugr/m3. Wind direction is SSE. Dust level #PM10 is: 3.97ugr/m3. Dust level #PM2.5 is: 1.80ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;97.12
